ObjectID,IncidentNum,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side,full_address,latitude,longitude
1138943,241110-0464,900 BLOCK CALIFORNIA AVE,Honolulu_PD_HI_7516023,"Honolulu PD, HI",11/10/2024 08:05:48 AM,VEHICLE BREAK-IN/THEFT,M,100,R,"900 BLOCK CALIFORNIA AVE Honolulu, HI",NA,NA
1138944,241110-0837,KANUNU ST / KEEAUMOKU ST,Honolulu_PD_HI_7516720,"Honolulu PD, HI",11/10/2024 12:45:52 PM,MOTOR VEHICLE THEFT,U,0,NA,"KANUNU ST / KEEAUMOKU ST Honolulu, HI",21.2949214,-157.8418614
1138945,241110-0855,800 BLOCK S BERETANIA ST,Honolulu_PD_HI_7516752,"Honolulu PD, HI",11/10/2024 12:54:55 PM,ASSAULT,M,100,R,"800 BLOCK S BERETANIA ST Honolulu, HI",NA,NA
1138946,241110-0866,500 BLOCK LUNALILO HOME RD,Honolulu_PD_HI_7516770,"Honolulu PD, HI",11/10/2024 01:02:36 PM,VANDALISM,M,100,L,"500 BLOCK LUNALILO HOME RD Honolulu, HI",21.2788573,-157.7026672
1138947,241110-1073,300 BLOCK N CANE ST,Honolulu_PD_HI_7517127,"Honolulu PD, HI",11/10/2024 03:23:22 PM,SEX CRIMES,M,100,R,"300 BLOCK N CANE ST Honolulu, HI",21.500996,-158.0257317
1138948,241110-1138,700 BLOCK KAPIOLANI BLVD,Honolulu_PD_HI_7517252,"Honolulu PD, HI",11/10/2024 04:07:12 PM,MOTOR VEHICLE THEFT,M,100,R,"700 BLOCK KAPIOLANI BLVD Honolulu, HI",NA,NA
1138949,241110-1286,980200 BLOCK KAONOHI ST,Honolulu_PD_HI_7517513,"Honolulu PD, HI",11/10/2024 06:00:41 PM,THEFT/LARCENY,T,100,R,"980200 BLOCK KAONOHI ST Honolulu, HI",NA,NA
1138950,241110-1500,1100 BLOCK KAMOKILA BLVD,Honolulu_PD_HI_7517845,"Honolulu PD, HI",11/10/2024 08:09:39 PM,SEX CRIMES,M,100,L,"1100 BLOCK KAMOKILA BLVD Honolulu, HI",NA,NA
1138951,241110-1534,100 BLOCK S KAM HWY,Honolulu_PD_HI_7517895,"Honolulu PD, HI",11/10/2024 08:37:30 PM,MOTOR VEHICLE THEFT,M,100,L,"100 BLOCK S KAM HWY Honolulu, HI",NA,NA
1138952,241110-1566,200 BLOCK LILIUOKALANI AVE,Honolulu_PD_HI_7517945,"Honolulu PD, HI",11/10/2024 09:01:49 PM,MOTOR VEHICLE THEFT,M,100,L,"200 BLOCK LILIUOKALANI AVE Honolulu, HI",NA,NA
1138960,241110-0540,3500 BLOCK DIAMOND HEAD RD,Honolulu_PD_HI_7516163,"Honolulu PD, HI",11/10/2024 08:54:58 AM,THEFT/LARCENY,M,100,R,"3500 BLOCK DIAMOND HEAD RD Honolulu, HI",NA,NA
1138961,241110-0568,3600 BLOCK LEAHI AVE,Honolulu_PD_HI_7516212,"Honolulu PD, HI",11/10/2024 09:16:55 AM,VEHICLE BREAK-IN/THEFT,M,100,R,"3600 BLOCK LEAHI AVE Honolulu, HI",NA,NA
1138962,241110-0691,3000 BLOCK LOWREY AVE,Honolulu_PD_HI_7516429,"Honolulu PD, HI",11/10/2024 10:43:24 AM,FRAUD,M,100,L,"3000 BLOCK LOWREY AVE Honolulu, HI",NA,NA
1138963,241110-1168,913200 BLOCK KUALAKAI PKWY,Honolulu_PD_HI_7517301,"Honolulu PD, HI",11/10/2024 04:32:37 PM,ASSAULT,M,100,R,"913200 BLOCK KUALAKAI PKWY Honolulu, HI",NA,NA
1138964,241110-1537,2200 BLOCK KALAKAUA AVE,Honolulu_PD_HI_7517899,"Honolulu PD, HI",11/10/2024 08:42:42 PM,THEFT/LARCENY,M,100,L,"2200 BLOCK KALAKAUA AVE Honolulu, HI",NA,NA
1138983,241110-0004,KANEOHE BAY DR / KAM HWY,Honolulu_PD_HI_7515329,"Honolulu PD, HI",11/10/2024 12:01:09 AM,DUI,U,0,NA,"KANEOHE BAY DR / KAM HWY Honolulu, HI",NA,NA
1138984,241110-0286,940000 BLOCK WAIPAHU ST,Honolulu_PD_HI_7515765,"Honolulu PD, HI",11/10/2024 05:00:53 AM,ASSAULT,M,100,R,"940000 BLOCK WAIPAHU ST Honolulu, HI",NA,NA
1138985,241110-0467,8200 BLOCK KALANIANAOLE HWY,Honolulu_PD_HI_7516031,"Honolulu PD, HI",11/10/2024 08:08:50 AM,THEFT/LARCENY,M,100,R,"8200 BLOCK KALANIANAOLE HWY Honolulu, HI",NA,NA
1138986,241110-0909,6000 BLOCK ELELUPE PL,Honolulu_PD_HI_7516844,"Honolulu PD, HI",11/10/2024 01:34:55 PM,THEFT/LARCENY,M,100,L,"6000 BLOCK ELELUPE PL Honolulu, HI",NA,NA
1138987,241110-0950,910400 BLOCK EWA BEACH RD,Honolulu_PD_HI_7516910,"Honolulu PD, HI",11/10/2024 02:02:29 PM,MOTOR VEHICLE THEFT,M,100,R,"910400 BLOCK EWA BEACH RD Honolulu, HI",NA,NA
1138988,241110-1055,2000 BLOCK KALIA RD,Honolulu_PD_HI_7517101,"Honolulu PD, HI",11/10/2024 03:12:50 PM,VEHICLE BREAK-IN/THEFT,M,100,R,"2000 BLOCK KALIA RD Honolulu, HI",NA,NA
1138989,241110-1434,3200 BLOCK WINAM AVE,Honolulu_PD_HI_7517748,"Honolulu PD, HI",11/10/2024 07:27:50 PM,THEFT/LARCENY,M,100,L,"3200 BLOCK WINAM AVE Honolulu, HI",NA,NA
1138990,241110-1644,911000 BLOCK KEAUNUI DR,Honolulu_PD_HI_7518080,"Honolulu PD, HI",11/10/2024 10:02:39 PM,THEFT/LARCENY,M,100,R,"911000 BLOCK KEAUNUI DR Honolulu, HI",NA,NA
1139006,241110-0243,S KING ST / PIIKOI ST,Honolulu_PD_HI_7515694,"Honolulu PD, HI",11/10/2024 04:07:21 AM,DUI,U,0,NA,"S KING ST / PIIKOI ST Honolulu, HI",21.2998273,-157.8443504
1139007,241110-0435,870100 BLOCK LINAKOLA ST,Honolulu_PD_HI_7515979,"Honolulu PD, HI",11/10/2024 07:44:42 AM,ASSAULT,M,100,L,"870100 BLOCK LINAKOLA ST Honolulu, HI",NA,NA
1139008,241110-0611,800 BLOCK PUUHALE RD,Honolulu_PD_HI_7516311,"Honolulu PD, HI",11/10/2024 09:46:28 AM,MOTOR VEHICLE THEFT,M,100,L,"800 BLOCK PUUHALE RD Honolulu, HI",NA,NA
1139009,241110-1014,1300 BLOCK PUNCHBOWL ST,Honolulu_PD_HI_7517032,"Honolulu PD, HI",11/10/2024 02:43:54 PM,ASSAULT,M,100,R,"1300 BLOCK PUNCHBOWL ST Honolulu, HI",NA,NA
1139010,241110-1544,670200 BLOCK KAHAONE LOOP,Honolulu_PD_HI_7517917,"Honolulu PD, HI",11/10/2024 08:50:04 PM,ASSAULT,M,100,L,"670200 BLOCK KAHAONE LOOP Honolulu, HI",NA,NA
